Ticker symbol,Security,Sector,Industry,Headquarters,CIK
A,Agilent Technologies Inc,Health Care,Health Care Equipment & Services,"Santa Clara, California",1090872
AA,Alcoa Inc,Materials,Aluminum,"New York, New York",4281
AAPL,Apple Inc.,Information Technology,Computer Hardware,"Cupertino, California",320193
ABBV,AbbVie,Health Care,Pharmaceuticals,"North Chicago, Illinois",1551152
ABC,AmerisourceBergen Corp,Health Care,Health Care Distribution & Services,"Chesterbrook, Pennsylvania",1140859
ABT,Abbott Laboratories,Health Care,Health Care Equipment & Services,"North Chicago, Illinois",1800
ACE,ACE Limited,Financials,Property & Casualty Insurance,"Zurich, Switzerland",896159
ACN,Accenture plc,Information Technology,IT Consulting & Services,"Dublin, Ireland",1467373
ACT,Actavis plc,Health Care,Pharmaceuticals,"Dublin, Ireland",884629
ADBE,Adobe Systems Inc,Information Technology,Application Software,"San Jose, California",796343
ADI,"Analog Devices, Inc.",Information Technology,Semiconductors,"Norwood, Massachusetts",6281
ADM,Archer-Daniels-Midland Co,Consumer Staples,Agricultural Products,"Decatur, Illinois",7084
ADP,Automatic Data Processing,Information Technology,Internet Software & Services,"Roseland, New Jersey",8670
ADS,Alliance Data Systems,Information Technology,Data Processing & Outsourced Services,"Plano, Texas",1101215
ADSK,Autodesk Inc,Information Technology,Application Software,"San Rafael, California",769397
ADT,ADT Corp,Industrials,Diversified Commercial Services,"Boca Raton, Florida",1546640
AEE,Ameren Corp,Utilities,Multi-Utilities & Unregulated Power,"St. Louis, Missouri",1002910
AEP,American Electric Power,Utilities,Electric Utilities,"Columbus, Ohio",4904
AES,AES Corp,Utilities,Electric Utilities,"Arlington, Virginia",874761
AET,Aetna Inc,Health Care,Managed Health Care,"Hartford, Connecticut",1122304
AFL,AFLAC Inc,Financials,Life & Health Insurance,"Columbus, Georgia",4977
AGN,Allergan Inc,Health Care,Pharmaceuticals,"Irvine, California",850693
AIG,"American International Group, Inc.",Financials,Property & Casualty Insurance,"New York, New York",5272
AIV,Apartment Investment & Mgmt,Financials,REITs,"Denver, Colorado",922864
AIZ,Assurant Inc,Financials,Multi-line Insurance,"New York, New York",1267238
AKAM,Akamai Technologies Inc,Information Technology,Internet Software & Services,"Cambridge, Massachusetts",1086222
ALL,Allstate Corp,Financials,Property & Casualty Insurance,"Northfield Township, Illinois",899051
ALLE,Allegion,Industrials,Building Products,"Dublin, Ireland",1579241
ALTR,Altera Corp,Information Technology,Semiconductors,"San Jose, California",768251
